번호,분야,사업명,신청시작일자,신청종료일자,소관기관,수행기관,등록일자,상세URL
1,수출,[부산] 2024년 아세안 온라인시장(큐텐) 진출 지원사업 참가기업 모집 공고,2024-03-26,2024-04-10,부산광역시,부산경제진흥원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096359
2,창업,2024년 전북 글로벌게임센터 인디게임 제작지원사업 공고,2024-03-27,2024-04-11,전북특별자치도,전북특별자치도콘텐츠융합진흥원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096373
3,경영,2024년 뉴테크 특화콘텐츠 제작 지원 참여기업 모집 공고,2024-03-28,2024-04-25,과학기술정보통신부,대구테크노파크,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096372
4,기술,2024년 1차 중소기업 품질시스템 구축 지원사업 시행 공고,2024-03-28,2024-04-11,산업통상자원부,한국원자력산업협회,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096371
5,인력,[충북] 2024년 청년 핵심인재 지역활력 지원사업 참여기업 추가모집 공고,2024-03-28,2024-04-07,충청북도,충북바이오산학융합원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096358
6,기술,자율주행 인지 및 운행안전(SOTIF) 성능검증 기반구축사업 기업지원 통합 모집 공고(산업혁신기반구축사업),2024-04-17,2024-04-19,충청남도,충남테크노파크,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096357
7,경영,[울산] 2024년 상반기 산업안전보건 국제표준 인증기업 지원사업 모집 공고,2024-03-28,2024-06-08,울산광역시,울산경제일자리진흥원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096356
8,수출,[강원] 횡성군 2024년 중소기업 수출경쟁력 강화 지원사업 모집 공고,2024-03-27,2024-04-12,강원특별자치도,강원특별자치도경제진흥원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096355
9,경영,[부산] 물류현장 디지털 안전관리 시스템 실증 확산 지원사업 기업지원 프로그램 참여기업 추가 모집 공고,2024-03-26,2024-04-01,부산광역시,부산테크노파크,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096370
10,경영,[울산] 2024년 중소ㆍ중견기업 에너지 진단 개선 지원사업 참여기업 모집 공고,2024-03-28,2024-04-26,울산광역시,울산테크노파크,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096369
11,경영,[충남] 2024년 미래차전환 종합지원사업 지원대상 모집 공고,2024-03-27,2024-04-12,충청남도,충남테크노파크,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096368
